1,12,25,250,U,1,3912
2,12,25,250,U,1,4215
3,12,25,250,U,1,4791
4,12,25,250,U,1,4499
5,12,25,250,U,1,4927
6,12,25,250,S,1,1549,1,0,1,1,0,0,1,1,1,1,1,0
7,12,25,250,U,1,5517
8,12,25,250,U,1,4470
9,12,25,250,U,1,4801
10,12,25,250,U,1,5095
# Satisfied = 1. # Unsatisfied = 9
Max Sat Time = 1549. Max Unsat Time = 5517
Avg Sat Time = 154.9. Avg UnSat Time = 4222.7
11,12,26,252,U,1,5718
12,12,26,252,S,1,148,1,1,1,1,1,0,1,1,0,1,1,1
13,12,26,252,S,1,3207,0,1,0,1,0,1,1,1,0,1,0,1
14,12,26,252,U,1,4232
15,12,26,252,U,1,5278
16,12,26,252,U,1,4386
17,12,26,252,S,1,3000,0,1,0,1,1,0,0,0,1,1,0,1
18,12,26,252,U,1,4795
19,12,26,252,U,1,5162
20,12,26,252,U,1,4986
# Satisfied = 3. # Unsatisfied = 7
Max Sat Time = 3207. Max Unsat Time = 5718
Avg Sat Time = 635.5. Avg UnSat Time = 3455.7
21,12,27,254,U,1,5154
22,12,27,254,S,1,5088,0,0,0,0,0,0,0,1,1,1,0,0
23,12,27,254,U,1,4447
24,12,27,254,U,1,4313
25,12,27,254,S,1,1557,1,0,1,1,1,0,1,1,0,1,0,1
26,12,27,254,U,1,5011
27,12,27,254,U,1,4055
28,12,27,254,S,1,1652,1,0,1,0,1,0,0,0,1,1,1,1
29,12,27,254,U,1,3897
30,12,27,254,U,1,4141
# Satisfied = 3. # Unsatisfied = 7
Max Sat Time = 5088. Max Unsat Time = 5154
Avg Sat Time = 829.7. Avg UnSat Time = 3101.8
31,12,28,256,U,1,4200
32,12,28,256,U,1,4134
33,12,28,256,U,1,3560
34,12,28,256,U,1,4142
35,12,28,256,U,1,4243
36,12,28,256,U,1,3914
37,12,28,256,U,1,4258
38,12,28,256,U,1,4020
39,12,28,256,U,1,3771
40,12,28,256,U,1,4186
# Satisfied = 0. # Unsatisfied = 10
Max Sat Time = 0. Max Unsat Time = 4258
Avg Sat Time = 0.0. Avg UnSat Time = 4042.8
41,12,29,258,U,1,4352
42,12,29,258,U,1,4368
43,12,29,258,U,1,4661
44,12,29,258,U,1,3715
45,12,29,258,U,1,3915
46,12,29,258,S,1,363,1,1,1,0,1,0,0,1,1,1,0,1
47,12,29,258,U,1,3277
48,12,29,258,U,1,4359
49,12,29,258,U,1,3803
50,12,29,258,U,1,4627
# Satisfied = 1. # Unsatisfied = 9
Max Sat Time = 363. Max Unsat Time = 4661
Avg Sat Time = 36.3. Avg UnSat Time = 3707.7
51,16,30,260,S,1,31964,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0
52,16,30,260,S,1,33951,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1
53,16,30,260,S,1,2141,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1
54,16,30,260,S,1,37628,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1
55,16,30,260,S,1,36099,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0
56,16,30,260,S,1,12909,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1
57,16,30,260,S,1,28923,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1
58,16,30,260,U,1,44953
59,16,30,260,U,1,62462
60,16,30,260,S,1,14502,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1
# Satisfied = 8. # Unsatisfied = 2
Max Sat Time = 37628. Max Unsat Time = 62462
Avg Sat Time = 19811.7. Avg UnSat Time = 10741.5
61,16,31,262,S,1,7508,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0
62,16,31,262,S,1,3274,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1
63,16,31,262,U,1,60597
64,16,31,262,S,1,29166,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1
65,16,31,262,U,1,56591
66,16,31,262,U,1,61800
67,16,31,262,S,1,31407,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0
68,16,31,262,U,1,68864
69,16,31,262,U,1,68820
70,16,31,262,U,1,58908
# Satisfied = 4. # Unsatisfied = 6
Max Sat Time = 31407. Max Unsat Time = 68864
Avg Sat Time = 7135.5. Avg UnSat Time = 37558.0
71,18,32,264,U,1,246429
72,18,32,264,S,1,31861,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
73,18,32,264,S,1,87113,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1
74,18,32,264,U,1,268355
75,18,32,264,U,1,284611
76,18,32,264,U,1,251831
77,18,32,264,S,1,57459,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1
78,18,32,264,U,1,247531
79,18,32,264,S,1,166973,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1
80,18,32,264,S,1,161457,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1
# Satisfied = 5. # Unsatisfied = 5
Max Sat Time = 166973. Max Unsat Time = 284611
Avg Sat Time = 50486.3. Avg UnSat Time = 129875.7
81,20,33,266,U,1,1028571
82,20,33,266,U,1,1032869
83,20,33,266,S,1,214393,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1
84,20,33,266,S,1,1018550,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0
85,20,33,266,S,1,209089,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1
86,20,33,266,U,1,1130565
87,20,33,266,S,1,29077,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1
88,20,33,266,U,1,965238
89,20,33,266,U,1,971217
90,20,33,266,S,1,547062,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1
# Satisfied = 5. # Unsatisfied = 5
Max Sat Time = 1018550. Max Unsat Time = 1130565
Avg Sat Time = 201817.1. Avg UnSat Time = 512846.0
91,22,34,268,S,1,402650,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1
92,22,34,268,S,1,830378,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0
93,22,34,268,S,1,280403,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1
94,22,34,268,S,1,2856194,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0
95,22,34,268,S,1,642112,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1
96,22,34,268,S,1,3177046,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0
97,22,34,268,U,1,4404740
98,22,34,268,U,1,4961638
99,22,34,268,U,1,3917357
100,22,34,268,S,1,1273807,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1
# Satisfied = 7. # Unsatisfied = 3
Max Sat Time = 3177046. Max Unsat Time = 4961638
Avg Sat Time = 946259.0. Avg UnSat Time = 1328373.5
